case (a):
n e r
2 0.8893965769 0.0000000000
4 0.8219915385 1.8399762619
8 0.7853578928 1.9230228610
16 0.7663078616 1.9583406325
32 0.7565802223 1.9636966212
64 0.7516264839 1.9248731488
128 0.7490529438 1.8032524605
256 0.7476257780 1.7797767900
512 0.7468238989 0.0000000000
case (b):
n e r
2 0.0883885861 0.0000000000
4 0.1737921706 1.6210388769
8 0.2264766470 1.8288575386
16 0.2552839627 1.9174101666
32 0.2703080385 1.9542821419
64 0.2779958106 1.9477451004
128 0.2819428220 1.8215984152
256 0.2841096066 1.3496231488
512 0.2857150804 0.0000000000
case (c):
n e r
2 4.2370430828 0.0000000000
4 2.9194152454 5.0916130746
8 2.6606312769 31.4331198380
16 2.6523984330 -7.9949809015
32 2.6534281846 1.4532275319
64 2.6541367808 0.3744649029
128 2.6560290709 0.1835814303
256 2.6663367043 -0.7010801628
512 2.6516342010 0.0000000000
case (d):
n e r
2 4.1888427761 0.0000000000
4 3.6652965877 14.0381128860
8 3.6280019604 -1996.9678707400
16 3.6280206360 0.0434261124
32 3.6284506912 0.4682858649
64 3.6293690517 0.3957951946
128 3.6316893439 0.5672232498
256 3.6357799593 -0.5000000000
512 3.6275987285 0.0000000000
case (e):
n e r
2 9.1358164672 0.0000000000
4 -5.4377595705 -5.3561874126
8 -2.7168734410 1.4165218810
16 -0.7960516267 1.8782092823
32 0.2266362241 1.9964482853
64 0.7388898388 2.0189625993
128 0.9926110395 1.2840937934
256 1.1901987873 1.7600219672
512 1.3024631519 0.0000000000
