case (a):
n e r
2 0.889397, 0.000000
4 0.821992, 1.839976
8 0.785358, 1.923023
16 0.766308, 1.958341
32 0.756580, 1.963697
64 0.751626, 1.924873
128 0.749053, 1.803252
256 0.747626, 1.779777
512 0.746824, 0.000000
case (b):
n e r
2 0.088389, 0.000000
4 0.173792, 1.621039
8 0.226477, 1.828858
16 0.255284, 1.917410
32 0.270308, 1.954282
64 0.277996, 1.947745
128 0.281943, 1.821598
256 0.284110, 1.349623
512 0.285715, 0.000000
case (c):
n e r
2 4.237043, 0.000000
4 2.919415, 5.091613
8 2.660631, 31.433120
16 2.652398, -7.994981
32 2.653428, 1.453228
64 2.654137, 0.374465
128 2.656029, 0.183581
256 2.666337, -0.701080
512 2.651634, 0.000000
case (d):
n e r
2 4.188843, 0.000000
4 3.665297, 14.038113
8 3.628002, -1996.967871
16 3.628021, 0.043426
32 3.628451, 0.468286
64 3.629369, 0.395795
128 3.631689, 0.567223
256 3.635780, -0.500000
512 3.627599, 0.000000
case (e):
n e r
2 9.135816, 0.000000
4 -5.437760, -5.356187
8 -2.716873, 1.416522
16 -0.796052, 1.878209
32 0.226636, 1.996448
64 0.738890, 2.018963
128 0.992611, 1.284094
256 1.190199, 1.760022
512 1.302463, 0.000000
